"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Christian Poulsen","Defensive Midfield",28,"Sevilla FC","LaLiga","Juventus","Serie A","2008-2009",11000000,9750000
"Ricardo Oliveira","Centre-Forward",28,"Real Zaragoza","LaLiga2","Real Betis","LaLiga","2008-2009",12000000,9000000
"Giampaolo Pazzini","Centre-Forward",24,"Fiorentina","Serie A","Sampdoria","Serie A","2008-2009",10000000,9000000
"Thiago Neves","Attacking Midfield",23,"Fluminense","Série A","Hamburger SV","1.Bundesliga","2008-2009",10000000,9000000
"Shay Given","Goalkeeper",32,"Newcastle","Premier League","Man City","Premier League","2008-2009",7500000,9000000
"Bakari Koné","Right Winger",26,"OGC Nice","Ligue 1","Marseille","Ligue 1","2008-2009",7500000,9000000
"Heurelho Gomes","Goalkeeper",27,"PSV Eindhoven","Eredivisie","Spurs","Premier League","2008-2009",7500000,9000000
"Andrea Dossena","Left Midfield",26,"Udinese Calcio","Serie A","Liverpool","Premier League","2008-2009",6500000,9000000
"Marcelo Moreno","Centre-Forward",21,"Cruzeiro","Série A","Shakhtar D.","Premier Liga","2008-2009",6000000,9000000
"Kim","Centre-Forward",28,"AS Nancy","Ligue 1","Al Arabi"," Qatar","2008-2009",4500000,9000000
"Diogo","Centre-Forward",21,"Portuguesa","Série A","Olympiacos","Super League","2008-2009",4000000,9000000
"Marco Borriello","Centre-Forward",26,"Genoa","Serie A","AC Milan","Serie A","2008-2009",12000000,8750000
"Pablo Zabaleta","Right-Back",23,"Espanyol","LaLiga","Man City","Premier League","2008-2009",8000000,8700000
"Hugo Lloris","Goalkeeper",21,"OGC Nice","Ligue 1","Olympique Lyon","Ligue 1","2008-2009",8500000,8500000
"Vincent Kompany","Centre-Back",22,"Hamburger SV","1.Bundesliga","Man City","Premier League","2008-2009",8000000,8500000
"Romaric","Defensive Midfield",25,"Le Mans","Ligue 1","Sevilla FC","LaLiga","2008-2009",7000000,8500000
"Abdoulay Konko","Right-Back",24,"Genoa","Serie A","Sevilla FC","LaLiga","2008-2009",6000000,8500000
"Savio Nsereko","Right Winger",19,"Brescia","Serie B","West Ham","Premier League","2008-2009",1500000,8500000
"John Mensah","Centre-Back",25,"Stade Rennais","Ligue 1","Olympique Lyon","Ligue 1","2008-2009",7500000,8400000
"Marcell Jansen","Left-Back",22,"Bayern Munich ","1.Bundesliga","Hamburger SV","1.Bundesliga","2008-2009",10000000,8000000
"Christian Maggio","Right-Back",26,"Sampdoria","Serie A","SSC Napoli","Serie A","2008-2009",9000000,8000000
"Stevan Jovetic","Centre-Forward",18,"Partizan","SuperLiga","Fiorentina","Serie A","2008-2009",7000000,8000000
"Asamoah Gyan","Centre-Forward",22,"Udinese Calcio","Serie A","Stade Rennais","Ligue 1","2008-2009",6000000,8000000
"Henrique","Centre-Back",21,"Desp. Brasil"," Brazil","FC Barcelona","LaLiga","2008-2009",6000000,8000000
"Loïc Rémy","Centre-Forward",21,"Olympique Lyon","Ligue 1","OGC Nice","Ligue 1","2008-2009",6000000,8000000
"Jorge Valdivia","Attacking Midfield",24,"Palmeiras","Série A","Al-Ain FC"," United Arab Emirates","2008-2009",5500000,8000000
"Amara Diané","Right Winger",25,"Paris SG","Ligue 1","Al Rayyan"," Qatar","2008-2009",5000000,8000000
"Stéphane Sessègnon","Attacking Midfield",24,"Le Mans","Ligue 1","Paris SG","Ligue 1","2008-2009",5000000,8000000
"Felipe Melo","Defensive Midfield",25,"UD Almería","LaLiga","Fiorentina","Serie A","2008-2009",5000000,8000000
"Damián Escudero","Attacking Midfield",21,"Vélez Sarsfield","Torneo Final","Villarreal CF","LaLiga","2008-2009",4450000,8000000
"Cesare Bovo","Centre-Back",25,"Genoa","Serie A","US Palermo","Serie A","2008-2009",3500000,7850000
"Antonio Nocerino","Central Midfield",23,"Juventus","Serie A","US Palermo","Serie A","2008-2009",9500000,7500000
"Pablo Aimar","Attacking Midfield",28,"Real Zaragoza","LaLiga2","Benfica","Liga NOS","2008-2009",8000000,7500000
"Miralem Pjanic","Central Midfield",18,"FC Metz","Ligue 2","Olympique Lyon","Ligue 1","2008-2009",5500000,7500000
"Juan Pablo Carrizo","Goalkeeper",24,"River Plate","Torneo Final","Lazio","Serie A","2008-2009",5300000,7500000
"Mladen Petric","Centre-Forward",27,"Bor. Dortmund","1.Bundesliga","Hamburger SV","1.Bundesliga","2008-2009",9500000,7300000
"Germán Denis","Centre-Forward",26,"Independiente","Torneo Final","SSC Napoli","Serie A","2008-2009",8250000,7100000
"Achille Emaná","Attacking Midfield",26,"Toulouse","Ligue 1","Real Betis","LaLiga","2008-2009",10000000,7000000
"Cristian Zaccardo","Centre-Back",26,"US Palermo","Serie A","VfL Wolfsburg","1.Bundesliga","2008-2009",7000000,7000000
"Rolando Bianchi","Centre-Forward",25,"Man City","Premier League","Torino","Serie A","2008-2009",6500000,7000000
"Pablo Piatti","Left Winger",19,"Estudiantes","Torneo Final","UD Almería","LaLiga","2008-2009",6500000,7000000
"Rio Mavuba","Defensive Midfield",24,"Villarreal CF","LaLiga","LOSC Lille","Ligue 1","2008-2009",6000000,7000000
"Darío Cvitanich","Centre-Forward",24,"CA Banfield","Torneo Final","AFC Ajax","Eredivisie","2008-2009",4800000,7000000
"Andrea Raggi","Centre-Back",24,"FC Empoli","Serie B","US Palermo","Serie A","2008-2009",4300000,7000000
"Dave Kitson","Centre-Forward",28,"Reading","Championship","Stoke City","Premier League","2008-2009",4250000,7000000
"Zoran Tosic","Right Winger",21,"Partizan","SuperLiga","Man Utd","Premier League","2008-2009",4250000,7000000
"Daniel Osvaldo","Centre-Forward",23,"Fiorentina","Serie A","Bologna","Serie A","2008-2009",4000000,7000000
"Cristian Rodríguez","Left Midfield",22,"Paris SG","Ligue 1","FC Porto","Liga NOS","2008-2009",3500000,7000000
"Lautaro Acosta","Left Winger",20,"Lanús","Torneo Final","Sevilla FC","LaLiga","2008-2009",2900000,7000000
"Sidnei","Centre-Back",18,"Internacional","Série A","Benfica","Liga NOS","2008-2009",1500000,7000000
"Fernandão","Centre-Forward",30,"Internacional","Série A","Al Gharafa"," Qatar","2008-2009",1000000,7000000
"Daniele Dessena","Central Midfield",21,"Parma","Serie B","Sampdoria","Serie A","2008-2009",4000000,6700000
"Federico Marchetti","Goalkeeper",25,"UC AlbinoLeffe","Serie B","Cagliari Calcio","Serie A","2008-2009",1000000,6700000
"Sébastien Squillaci","Centre-Back",27,"Olympique Lyon","Ligue 1","Sevilla FC","LaLiga","2008-2009",15000000,6500000
"Yoan Gouffran","Left Winger",22,"SM Caen","Ligue 1","G. Bordeaux","Ligue 1","2008-2009",6000000,6500000
"Jozy Altidore","Centre-Forward",18,"NY Red Bulls","MLS","Villarreal CF","LaLiga","2008-2009",1750000,6500000
"Charles N'Zogbia","Right Winger",22,"Newcastle","Premier League","Wigan","Premier League","2008-2009",7000000,6400000
"Aaron Ramsey","Central Midfield",17,"Cardiff","Championship","Arsenal","Premier League","2008-2009",5000000,6400000
"Fabrice Muamba","Central Midfield",20,"Birmingham","Championship","Bolton","Premier League","2008-2009",4500000,6400000
"Tal Ben Haim","Centre-Back",26,"Chelsea","Premier League","Man City","Premier League","2008-2009",4000000,6400000
"Luis Jiménez","Attacking Midfield",24,"Ternana","Serie C - B","Inter","Serie A","2008-2009",9000000,6300000
"Valon Behrami","Defensive Midfield",23,"Lazio","Serie A","West Ham","Premier League","2008-2009",8000000,6300000
"Steve Sidwell","Central Midfield",25,"Chelsea","Premier League","Aston Villa","Premier League","2008-2009",4000000,6300000
"Younès Kaboul","Centre-Back",22,"Spurs","Premier League","Portsmouth","Premier League","2008-2009",6500000,6250000
"Alex Silva","Centre-Back",23,"Iraty SC"," Brazil","Hamburger SV","1.Bundesliga","2008-2009",5000000,6200000
"Gökhan Ünal","Centre-Forward",25,"Kayserispor","Süper Lig","Trabzonspor","Süper Lig","2008-2009",4200000,6200000
"Marco Amelia","Goalkeeper",26,"AS Livorno","Serie B","US Palermo","Serie A","2008-2009",12000000,6000000
"Fernando Meira","Centre-Back",30,"Galatasaray","Süper Lig","Zenit S-Pb","Premier Liga","2008-2009",8500000,6000000
"Sébastien Puygrenier","Centre-Back",26,"AS Nancy","Ligue 1","Zenit S-Pb","Premier Liga","2008-2009",7500000,6000000
"Giovani dos Santos","Second Striker",19,"FC Barcelona","LaLiga","Spurs","Premier League","2008-2009",6000000,6000000
"Gaby Mudingayi","Defensive Midfield",26,"Lazio","Serie A","Bologna","Serie A","2008-2009",5500000,6000000
"Dudu Cearense","Central Midfield",25,"CSKA Moscow","Premier Liga","Olympiacos","Super League","2008-2009",5500000,6000000
"Ognjen Vukojevic","Defensive Midfield",24,"Dinamo Zagreb","1.HNL","Dynamo Kyiv","Premier Liga","2008-2009",5000000,6000000
"Brandão","Centre-Forward",28,"Shakhtar D.","Premier Liga","Marseille","Ligue 1","2008-2009",5000000,6000000
"Pelé","Central Midfield",20,"Inter","Serie A","FC Porto","Liga NOS","2008-2009",4000000,6000000
"Roberto Soldado","Centre-Forward",23,"Real Madrid","LaLiga","Getafe CF","LaLiga","2008-2009",4000000,6000000
"Aritz Aduriz","Centre-Forward",27,"Athletic Bilbao","LaLiga","RCD Mallorca","LaLiga","2008-2009",3800000,6000000
"Nélson","Right-Back",25,"Benfica","Liga NOS","Real Betis","LaLiga","2008-2009",3200000,6000000
"Mirel Radoi","Defensive Midfield",27,"FCS Bucharest","Liga 1","Hilal"," Saudi Arabia","2008-2009",3000000,6000000
"Baré","Centre-Forward",26,"Gamba Osaka","J1 League","Al-Ahli (UAE)"," United Arab Emirates","2008-2009",NA,6000000
"Borja Valero","Central Midfield",23,"RCD Mallorca","LaLiga","West Brom","Premier League","2008-2009",3800000,5900000
"Jonás Gutiérrez","Left Midfield",25,"RCD Mallorca","LaLiga","Newcastle","Premier League","2008-2009",6000000,5800000
"Jesús Dátolo","Attacking Midfield",24,"Boca Juniors","Torneo Final","SSC Napoli","Serie A","2008-2009",3300000,5700000
"Xisco","Centre-Forward",22,"Dep. La Coruña","LaLiga","Newcastle","Premier League","2008-2009",5000000,5680000
"Marko Basa","Centre-Back",25,"Le Mans","Ligue 1","Loko Moscow","Premier Liga","2008-2009",6500000,5500000
"Joseba Llorente","Centre-Forward",28,"Real Valladolid","LaLiga","Villarreal CF","LaLiga","2008-2009",6000000,5500000
"Milan Baros","Centre-Forward",26,"Olympique Lyon","Ligue 1","Galatasaray","Süper Lig","2008-2009",4500000,5500000
"George McCartney","Left-Back",27,"West Ham","Premier League","Sunderland","Premier League","2008-2009",4000000,5500000
"Orlando Engelaar","Defensive Midfield",28,"FC Twente","Eredivisie","FC Schalke 04","1.Bundesliga","2008-2009",3500000,5500000
"Leandro Rinaudo","Centre-Back",25,"US Palermo","Serie A","SSC Napoli","Serie A","2008-2009",2500000,5500000
"Hulk","Right Winger",22,"Tokyo Verdy","J1 League","FC Porto","Liga NOS","2008-2009",NA,5500000
"Jimmy Bullard","Central Midfield",30,"Fulham","Premier League","Hull City","Premier League","2008-2009",4500000,5300000
"Mauro Boselli","Centre-Forward",23,"Boca Juniors","Torneo Final","Estudiantes","Torneo Final","2008-2009",3500000,5300000
"Renato Augusto","Central Midfield",20,"Flamengo","Série A","Bay. Leverkusen","1.Bundesliga","2008-2009",5500000,5200000
"John Arne Riise","Left-Back",27,"Liverpool","Premier League","AS Roma","Serie A","2008-2009",12500000,5000000
"Raffaele Palladino","Left Winger",24,"Juventus","Serie A","Genoa","Serie A","2008-2009",10000000,5000000
"Steed Malbranque","Central Midfield",28,"Spurs","Premier League","Sunderland","Premier League","2008-2009",9000000,5000000
"Guilherme","Second Striker",20,"Cruzeiro","Série A","Dynamo Kyiv","Premier Liga","2008-2009",8000000,5000000
"Alex","Attacking Midfield",26,"Internacional","Série A","Spartak Moscow","Premier Liga","2008-2009",7500000,5000000
"Pascal Feindouno","Right Winger",27,"Saint-Étienne","Ligue 1","Al Sadd"," Qatar","2008-2009",7500000,5000000
"Igor Budan","Centre-Forward",28,"Parma","Serie B","US Palermo","Serie A","2008-2009",6500000,5000000
"Igor Semshov","Central Midfield",30,"Dinamo Moscow","Premier Liga","Zenit S-Pb","Premier Liga","2008-2009",6000000,5000000
"Gerard Piqué","Centre-Back",21,"Man Utd","Premier League","FC Barcelona","LaLiga","2008-2009",5500000,5000000
"Khalid Boulahrouz","Centre-Back",26,"Chelsea","Premier League","VfB Stuttgart","1.Bundesliga","2008-2009",5000000,5000000
"Steve Savidan","Centre-Forward",30,"Valenciennes FC","Ligue 1","SM Caen","Ligue 1","2008-2009",5000000,5000000
"Hilton","Centre-Back",30,"Lens","Ligue 2","Marseille","Ligue 1","2008-2009",4500000,5000000
"Andrea Gasbarroni","Second Striker",26,"Parma","Serie B","Genoa","Serie A","2008-2009",4000000,5000000
"Didier Digard","Defensive Midfield",21,"Paris SG","Ligue 1","Middlesbrough","Premier League","2008-2009",3000000,5000000
"Nicolás Pareja","Centre-Back",24,"RSC Anderlecht","Jupiler Pro League","Espanyol","LaLiga","2008-2009",2750000,5000000
"Charles","Defensive Midfield",23,"Cruzeiro","Série A","Loko Moscow","Premier Liga","2008-2009",2300000,5000000
"Karim El Ahmadi","Central Midfield",23,"FC Twente","Eredivisie","Feyenoord","Eredivisie","2008-2009",2000000,5000000
"Renan","Goalkeeper",23,"Internacional","Série A","Valencia CF","LaLiga","2008-2009",1700000,5000000
"Cristian Sapunaru","Centre-Back",24,"Rapid Bucharest","Liga 1","FC Porto","Liga NOS","2008-2009",1400000,5000000
"Davide Astori","Centre-Back",21,"AC Milan","Serie A","Cagliari Calcio","Serie A","2008-2009",NA,5000000
"Marcus Diniz","Centre-Back",21,"AS Livorno","Serie B","AC Milan","Serie A","2008-2009",NA,5000000
"Hugo Rodallega","Centre-Forward",23,"Necaxa","Liga MX Clausura","Wigan","Premier League","2008-2009",4000000,4800000
"Gianluca Comotto","Centre-Back",29,"Torino","Serie A","Fiorentina","Serie A","2008-2009",2700000,4800000
"Andrea Lazzari","Central Midfield",23,"Atalanta","Serie A","Cagliari Calcio","Serie A","2008-2009",2000000,4800000
"Moussa Maazou","Centre-Forward",20,"KSC Lokeren","Jupiler Pro League","CSKA Moscow","Premier Liga","2008-2009",2000000,4800000
"Rubén de la Red","Central Midfield",23,"Getafe CF","LaLiga","Real Madrid","LaLiga","2008-2009",6000000,4700000
"Fernando Navarro","Left-Back",26,"RCD Mallorca","LaLiga","Sevilla FC","LaLiga","2008-2009",6000000,4700000
"Rafael Carioca","Defensive Midfield",19,"Grêmio","Série A","Spartak Moscow","Premier Liga","2008-2009",4000000,4700000
"Tomás Sivok","Centre-Back",24,"Udinese Calcio","Serie A","Besiktas","Süper Lig","2008-2009",3800000,4700000
"Djiby Fall","Centre-Forward",23,"Odense BK","Superligaen","Loko Moscow","Premier Liga","2008-2009",3500000,4700000
"Giuliano","Attacking Midfield",18,"Paraná","Série B","Internacional","Série A","2008-2009",700000,4700000
"Fernando Meira","Centre-Back",30,"VfB Stuttgart","1.Bundesliga","Galatasaray","Süper Lig","2008-2009",10000000,4500000
"Emre Belözoglu","Central Midfield",27,"Newcastle","Premier League","Fenerbahce","Süper Lig","2008-2009",7500000,4500000
"Fabian Ernst","Defensive Midfield",29,"FC Schalke 04","1.Bundesliga","Besiktas","Süper Lig","2008-2009",7000000,4500000
"Frédéric Piquionne","Centre-Forward",29,"Monaco","Ligue 1","Olympique Lyon","Ligue 1","2008-2009",7000000,4500000
"Kevin Nolan","Attacking Midfield",26,"Bolton","Premier League","Newcastle","Premier League","2008-2009",6500000,4500000
"Francesco Modesto","Left-Back",26,"Reggina","Serie A","Genoa","Serie A","2008-2009",5000000,4500000
"Maurizio Domizzi","Centre-Back",28,"SSC Napoli","Serie A","Udinese Calcio","Serie A","2008-2009",5000000,4500000
"Marat Izmailov","Central Midfield",25,"Loko Moscow","Premier Liga","Sporting CP","Liga NOS","2008-2009",3500000,4500000
"Nadir Belhadj","Left-Back",26,"Lens","Ligue 2","Portsmouth","Premier League","2008-2009",3500000,4500000
"Jaime Gavilán","Left Winger",23,"Valencia CF","LaLiga","Getafe CF","LaLiga","2008-2009",3000000,4500000
"Tomas Necid","Centre-Forward",19,"Slavia Prag","HET Liga","CSKA Moscow","Premier Liga","2008-2009",2500000,4500000
"Neven Subotic","Centre-Back",19,"1.FSV Mainz 05","2.Bundesliga","Bor. Dortmund","1.Bundesliga","2008-2009",2500000,4500000
"Pedro Geromel","Centre-Back",22,"Vit. Guimarães","Liga NOS","1. FC Köln","1.Bundesliga","2008-2009",1500000,4500000
"Stefan Radu","Left-Back",21,"Dinamo Bukarest","Liga 1","Lazio","Serie A","2008-2009",1400000,4500000
"Kyle Lafferty","Centre-Forward",20,"Burnley","Championship","Rangers","Premiership","2008-2009",1250000,4500000
"Wellington","Centre-Forward",20,"Internacional","Série A","TSG Hoffenheim","1.Bundesliga","2008-2009",900000,4500000
"Tomas Zapotocny","Centre-Back",27,"Udinese Calcio","Serie A","Besiktas","Süper Lig","2008-2009",850000,4500000
"Nicky Shorey","Left-Back",27,"Reading","Championship","Aston Villa","Premier League","2008-2009",6000000,4400000
"Paul Robinson","Goalkeeper",28,"Spurs","Premier League","Blackburn","Premier League","2008-2009",5000000,4400000
"Andrés D'Alessandro","Attacking Midfield",27,"San Lorenzo","Torneo Final","Internacional","Série A","2008-2009",4500000,4400000
"Olivier Kapo","Attacking Midfield",27,"Birmingham","Championship","Wigan","Premier League","2008-2009",3500000,4400000
"Lee Cattermole","Defensive Midfield",20,"Middlesbrough","Premier League","Wigan","Premier League","2008-2009",2000000,4400000
"Diego Cavalieri","Goalkeeper",25,"Palmeiras","Série A","Liverpool","Premier League","2008-2009",1200000,4400000
"Roman Adamov","Centre-Forward",26,"FK Moskau","Premier Liga","Rubin Kazan","Premier Liga","2008-2009",3000000,4300000
"Marco Bernacci","Centre-Forward",24,"RC Cesena","Serie C - A","Bologna","Serie A","2008-2009",3000000,4300000
"Danny Guthrie","Central Midfield",21,"Liverpool","Premier League","Newcastle","Premier League","2008-2009",1800000,4300000
"Fernando Tissone","Defensive Midfield",21,"Atalanta","Serie A","Udinese Calcio","Serie A","2008-2009",5500000,4200000
"Bobby Zamora","Centre-Forward",27,"West Ham","Premier League","Fulham","Premier League","2008-2009",3000000,4100000
"Javier Arizmendi","Centre-Forward",24,"Valencia CF","LaLiga","Real Zaragoza","LaLiga2","2008-2009",9000000,4000000
"Túlio de Melo","Centre-Forward",23,"US Palermo","Serie A","LOSC Lille","Ligue 1","2008-2009",7000000,4000000
"Zvjezdan Misimovic","Attacking Midfield",26,"1.FC Nuremberg","2.Bundesliga","VfL Wolfsburg","1.Bundesliga","2008-2009",6500000,4000000
"Scott Carson","Goalkeeper",22,"Liverpool","Premier League","West Brom","Premier League","2008-2009",6000000,4000000
"Alejandro Domínguez","Attacking Midfield",27,"Zenit S-Pb","Premier Liga","Rubin Kazan","Premier Liga","2008-2009",5600000,4000000
"Javi García","Defensive Midfield",21,"CA Osasuna","LaLiga","Real Madrid","LaLiga","2008-2009",5000000,4000000
"Sylvain Monsoreau","Centre-Back",27,"Monaco","Ligue 1","Saint-Étienne","Ligue 1","2008-2009",4000000,4000000
"Alanzinho","Attacking Midfield",25,"Stabaek IF","Eliteserien","Trabzonspor","Süper Lig","2008-2009",3500000,4000000
"Róbert Vittek","Centre-Forward",26,"1.FC Nuremberg","2.Bundesliga","LOSC Lille","Ligue 1","2008-2009",3500000,4000000
"Javier Balboa","Attacking Midfield",23,"Real Madrid","LaLiga","Benfica","Liga NOS","2008-2009",2600000,4000000
"Vince Grella","Central Midfield",28,"Torino","Serie A","Blackburn","Premier League","2008-2009",2500000,4000000
"Gianni Zuiverloon","Centre-Back",21,"Heerenveen","Eredivisie","West Brom","Premier League","2008-2009",2500000,4000000
"James Beattie","Centre-Forward",30,"Sheffield Utd.","Championship","Stoke City","Premier League","2008-2009",2250000,4000000
"Maurice Edu","Defensive Midfield",22,"Toronto FC","MLS","Rangers","Premiership","2008-2009",2000000,4000000
"Ismail Aissati","Attacking Midfield",19,"PSV Eindhoven","Eredivisie","AFC Ajax","Eredivisie","2008-2009",2000000,4000000
"Simon Kjær","Centre-Back",19,"FC Midtjylland","Superligaen","US Palermo","Serie A","2008-2009",1500000,4000000
"Stef Nijland","Centre-Forward",19,"FC Groningen","Eredivisie","PSV Eindhoven","Eredivisie","2008-2009",1250000,4000000
"Ola Toivonen","Centre-Forward",22,"Malmö FF","Allsvenskan","PSV Eindhoven","Eredivisie","2008-2009",1250000,4000000
"Marvin Emnes","Centre-Forward",20,"Sparta R.","Eredivisie","Middlesbrough","Premier League","2008-2009",1000000,4000000
"Joffre Guerrón","Centre-Forward",23,"LDU Quito"," Ecuador","Getafe CF","LaLiga","2008-2009",NA,4000000
"Diego Souza","Attacking Midfield",24,"Tokyo Verdy","J2 League","Kyoto Sanga","J1 League","2008-2009",NA,4000000
"Miguel Britos","Centre-Back",23,"Wanderers"," Uruguay","Bologna","Serie A","2008-2009",NA,4000000
"Daniele Vantaggiato","Centre-Forward",24,"Rimini","Serie B","Parma","Serie B","2008-2009",1250000,3930000
"Michael Gravgaard","Centre-Back",30,"FC Copenhagen","Superligaen","FC Nantes","Ligue 1","2008-2009",2750000,3900000
"Marcelo Mattos","Defensive Midfield",24,"Corinthians","Série B","Panathinaikos","Super League","2008-2009",5000000,3800000
"Steven Davis","Central Midfield",23,"Fulham","Premier League","Rangers","Premiership","2008-2009",4500000,3800000
"Esteban Solari","Centre-Forward",28,"UNAM Pumas","Liga MX Clausura","UD Almería","LaLiga","2008-2009",4000000,3800000
"Sokratis","Centre-Back",20,"AEK Athens","Super League","Genoa","Serie A","2008-2009",2700000,3800000
"Seyi Olofinjana","Central Midfield",28,"Wolves","Championship","Stoke City","Premier League","2008-2009",2500000,3800000
"Philippe Coutinho","Attacking Midfield",16,"Vasco U17"," Brazil","Inter","Serie A","2008-2009",2500000,3800000
"John Paintsil","Right-Back",27,"West Ham","Premier League","Fulham","Premier League","2008-2009",1500000,3800000
"Justin Hoyte","Right-Back",23,"Arsenal","Premier League","Middlesbrough","Premier League","2008-2009",1500000,3800000
"Cristiano Ronaldo","Centre-Forward",24,"Man Utd","Premier League","Real Madrid","LaLiga","2009-2010",60000000,94000000
"Zlatan Ibrahimovic","Centre-Forward",27,"Inter","Serie A","FC Barcelona","LaLiga","2009-2010",45000000,69500000
"Kaká","Attacking Midfield",27,"AC Milan","Serie A","Real Madrid","LaLiga","2009-2010",55000000,65000000
"Karim Benzema","Centre-Forward",21,"Olympique Lyon","Ligue 1","Real Madrid","LaLiga","2009-2010",29000000,35000000
"Xabi Alonso","Defensive Midfield",27,"Liverpool","Premier League","Real Madrid","LaLiga","2009-2010",27000000,34500000
"Mario Gómez","Centre-Forward",23,"VfB Stuttgart","1.Bundesliga","Bayern Munich ","1.Bundesliga","2009-2010",30000000,30000000
"Emmanuel Adebayor","Centre-Forward",25,"Arsenal","Premier League","Man City","Premier League","2009-2010",25000000,29000000
"Carlos Tévez","Second Striker",25,"West Ham","Premier League","Man City","Premier League","2009-2010",25000000,29000000
"Joleon Lescott","Centre-Back",27,"Everton","Premier League","Man City","Premier League","2009-2010",17000000,27500000
"Diego","Attacking Midfield",24,"Werder Bremen","1.Bundesliga","Juventus","Serie A","2009-2010",29000000,27000000
"Arjen Robben","Right Winger",25,"Real Madrid","LaLiga","Bayern Munich ","1.Bundesliga","2009-2010",30000000,25000000
"Diego Milito","Centre-Forward",30,"Genoa","Serie A","Inter","Serie A","2009-2010",16000000,25000000
"Dmytro Chygrynskiy","Centre-Back",22,"Shakhtar D.","Premier Liga","FC Barcelona","LaLiga","2009-2010",13500000,25000000
"Felipe Melo","Defensive Midfield",26,"Fiorentina","Serie A","Juventus","Serie A","2009-2010",9500000,25000000
"Lisandro López","Centre-Forward",26,"FC Porto","Liga NOS","Olympique Lyon","Ligue 1","2009-2010",16500000,24000000
"Roque Santa Cruz","Centre-Forward",27,"Blackburn","Premier League","Man City","Premier League","2009-2010",10000000,21200000
"Yuri Zhirkov","Left Midfield",25,"CSKA Moscow","Premier Liga","Chelsea","Premier League","2009-2010",20000000,21000000
"Glen Johnson","Right-Back",24,"Portsmouth","Premier League","Liverpool","Premier League","2009-2010",11000000,20500000
"Mauro Zárate","Second Striker",22,"Al Sadd"," Qatar","Lazio","Serie A","2009-2010",9000000,20200000
"Samuel Eto'o","Centre-Forward",28,"FC Barcelona","LaLiga","Inter","Serie A","2009-2010",35000000,20000000
"Alberto Aquilani","Central Midfield",25,"AS Roma","Serie A","Liverpool","Premier League","2009-2010",15000000,20000000
"Lucho González","Central Midfield",28,"FC Porto","Liga NOS","Marseille","Ligue 1","2009-2010",20000000,19000000
"Antonio Valencia","Right-Back",23,"Wigan","Premier League","Man Utd","Premier League","2009-2010",11000000,18900000
"Kolo Touré","Centre-Back",28,"Arsenal","Premier League","Man City","Premier League","2009-2010",21000000,18700000
"Fabio Quagliarella","Centre-Forward",26,"Udinese Calcio","Serie A","SSC Napoli","Serie A","2009-2010",14000000,18000000
"Michel Bastos","Left Midfield",25,"LOSC Lille","Ligue 1","Olympique Lyon","Ligue 1","2009-2010",10000000,18000000
"Nilmar","Centre-Forward",25,"Internacional","Série A","Villarreal CF","LaLiga","2009-2010",11000000,16500000
"Aly Cissokho","Left-Back",21,"FC Porto","Liga NOS","Olympique Lyon","Ligue 1","2009-2010",12000000,16200000
"Wesley Sneijder","Attacking Midfield",25,"Real Madrid","LaLiga","Inter","Serie A","2009-2010",25000000,15000000
"Klaas-Jan Huntelaar","Centre-Forward",26,"Real Madrid","LaLiga","AC Milan","Serie A","2009-2010",20000000,15000000
"Álvaro Negredo","Centre-Forward",24,"Real Madrid","LaLiga","Sevilla FC","LaLiga","2009-2010",12000000,15000000
"Ricardo Oliveira","Centre-Forward",29,"Real Betis","LaLiga2","Al-Jazira"," United Arab Emirates","2009-2010",10000000,15000000
"Raúl Albiol","Centre-Back",23,"Valencia CF","LaLiga","Real Madrid","LaLiga","2009-2010",9000000,15000000
"Robert Acquafresca","Centre-Forward",21,"Inter","Serie A","Genoa","Serie A","2009-2010",8000000,15000000
"Keirrison","Centre-Forward",20,"Desp. Brasil"," Brazil","FC Barcelona","LaLiga","2009-2010",14000000,14000000
"Gareth Barry","Defensive Midfield",28,"Aston Villa","Premier League","Man City","Premier League","2009-2010",18500000,13900000
"Michael Turner","Centre-Back",25,"Hull City","Premier League","Sunderland","Premier League","2009-2010",4000000,13600000
"Yoann Gourcuff","Attacking Midfield",22,"AC Milan","Serie A","G. Bordeaux","Ligue 1","2009-2010",18500000,13500000
"Stewart Downing","Left Midfield",25,"Middlesbrough","Championship","Aston Villa","Premier League","2009-2010",11000000,13000000
"Bafétimbi Gomis","Centre-Forward",23,"Saint-Étienne","Ligue 1","Olympique Lyon","Ligue 1","2009-2010",8000000,13000000
"Stéphane Mbia","Defensive Midfield",23,"Stade Rennais","Ligue 1","Marseille","Ligue 1","2009-2010",9500000,12000000
"Afonso Alves","Centre-Forward",28,"Middlesbrough","Championship","Al Sadd"," Qatar","2009-2010",6800000,12000000
"Thomas Vermaelen","Centre-Back",23,"AFC Ajax","Eredivisie","Arsenal","Premier League","2009-2010",6000000,12000000
"Darren Bent","Centre-Forward",25,"Spurs","Premier League","Sunderland","Premier League","2009-2010",12000000,11800000
"Anatoliy Tymoshchuk","Defensive Midfield",30,"Zenit S-Pb","Premier Liga","Bayern Munich ","1.Bundesliga","2009-2010",20000000,11000000
"Ismaël Bangoura","Centre-Forward",24,"Dynamo Kyiv","Premier Liga","Stade Rennais","Ligue 1","2009-2010",9000000,11000000
