Nombre del proyecto,Tipo de aplicación,Descripción,Categoría,Año del proyecto,Licencia,URL,URL Código,Organización,E-mail de contacto,Características,Versión,Fecha,URL Video,URL Documentación
OFERTAPP,Software Público,"Con la aplicación móvil OfertAPP el usuario contará con una herramienta de anuncio oportuno, que facilitará su labor a la hora de gestionar las ofertas de servicios del Estado que contribuyan a superar la condición de pobreza extrema entre las familias de la Red Unidos. Así mismo se constituye como una herramienta de participación ciudadana ya que el usuario, por medio de la encuesta de oferta podrá evidenciar las necesidades determinadas para un municipio en particular. Esto constituirá una fuente de valiosa información para su posterior análisis y toma de decisiones en pro de la sociedad.",Inclusión Social y Reconciliación,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Inicio de sesión o registro. Consulta de ofertas disponibles según su municipio, responder una encuesta de oferta, revisar los manuales de ofertas y rutas o cerrar cesión. Información detallada acerca de la oferta (donde, cuando, requisitos)",1.0,10/28/2014 12:00:00 AM,,
Aplicación Paz APP,Software Público,"El usuario tendrá en la aplicación móvil PAZ APP, una herramienta que le permitirá acercarse a la entidad Programa Presidencial Colombia Joven, está orientada a cualquier persona que desee realizar acciones para la construcción de paz desde la cotidianidad",Inclusión Social y Reconciliación,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"PazApp es una aplicación móvil cuyo objetivo principal es incentivar en el usuario comportamientos que aporten a la paz desde los propios espacios en los que se desenvuelve: hogar, trabajo, barrio, calle, entre otros.  Esta aplicación de tipo gamification, presenta al usuario la opción de seleccionar diariamente el rol que vaya a desempeñar y de acuerdo a éste recibir un reto para cumplir durante ese día, al final del cual podrá autoevaluarse y obtener la puntuación correspondiente. Si el usuario logra el reto satisfactoriamente podrá compartir este logro en Facebook, google+ o twitter.Según la puntuación total el usuario irá escalando de nivel y por cada rol el usuario irá avanzando de mundo cada vez que logre cumplir 6 retos",1.0,09/24/2014 12:00:00 AM,,
PQRD Alcaldía de Manizales,Software Público,"Herramienta que le permitirá acercarse a la entidad Alcaldía de Manizales, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Función pública,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Permite diligenciar y enviar peticiones, quejas y reclamos a la Alcaldía de Manizales generales y relacionados con el tema de la salud en la ciudad. Permite realizar seguimiento a la PQR registrada con lo cual el usuario se pueda enterar que ésta ya está finalizada o está en trámite. Permite adicionar fotos y vídeo sobre la queja.",1.0,04/16/2014 12:00:00 AM,,
Red Postconsumo,Software Público,La aplicación móvil  brinda a los ciudadanos orientación sobre dónde pueden encontrar los lugares en donde pueden dejar tipos de productos que son contaminantes y deben ser recolectados fuera de la basura común. Además pueden encontrar información útil sobre estos productos y sobre el reciclaje.,Vida y estilo,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"""Identificación de las categorías de consumo por donde se puede reciclar por departamento y municipio, mapa de georeferenciación de los puntos de reciclaje, lista de campañas de reciclaje, vídeos relacionados con el post consumo.",1.0,08/25/2014 12:00:00 AM,,
Ricalengua,Software Público,"La aplicación móvil permite consultar las comunidades lingüísticas existentes en nuestro país, datos de éstas, fotos, medios audiovisuales, algunas frases de éstas, el grado de amenaza que tiene cada una y ver su ubicación geográfica en el territorio nacional.",Cultura,2013,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"""Información en forma de texto, imágenes y audiovisual de cada comunidad lingüística. Audios disponibles de la comunidad lingüística. Vídeos disponibles de la comunidad lingüística Ubicación geográfica de las comunidades lingüísticas",1.0,10/24/2013 12:00:00 AM,,
Rede Activa,Software Público,"Aplicación móvil que posibilita el acercamiento de la población con discapacidad  a las prácticas recreativas, actividad física  y deporte de rendimiento y conocimiento sobre la Evolución, desarrollo y Resultados del Deporte Paralímpico en Colombia",Deporte y Recreación,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Módulos: Deportes: lista de los deportes disponibles por federaciones y discapacidad, en el detalle de cada deporte se encuentra información, contacto y una  galería de imágenes. Actividades recreativas: lista de las actividades recreativas que sugiere y ofrece Coldeportes. Entretenimiento: frase del día, reto de la semana y unos vídeos aleatorios de coaching personal, que contribuyen con el bienestar mental de las personas. Mi rutina: Perfecto para guardar alarmas y recordatorios interactivos para las personas que decidan practicar un deporte o una actividad recreativa y quieren tener un asistente sencillo de recordatorios. Deportistas: Lista con los deportistas o personas que realizan actividades recreativas destacadas en donde se resume su actividad y las acciones, premios o reconocimientos. Compartir: En esta categoría podrá compartir en las redes sociales “Facebook”, “Twitter” o “Google +” su experiencia con la aplicación. Eventos: Lista de los eventos que Coldeportes tiene disponible y de los cuales se puede hacer partícipe, se encuentra información de contacto, fechas de inicio y finalización, tipo de encuentro y entidad promotora.",,07/30/2018 12:00:00 AM,,
Saludatos,Software Público,"La aplicación móvil permitirá consultar, comparar y dar a conocer  datos estadísticos relacionados con la salud en Colombia, en la que se utilizarán tres ejes principales: indicadores de salud, ubicación geográfica y variables de desagregación. Los datos se podrán representar mediantes diversos tipos de gráficas (lineal, barras, representación geográfica, tabla) y se podrán compartir los resultados de la consulta a través de las redes sociales",Salud,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Indicadores de salud. Variables de desagregación: Cuando el usuario selecciona esta opción podrá filtrar la información que necesita entre las clasificaciones disponibles. Realizar consultas a través de los filtros que se van seleccionando en los tres ejes del menú principal (indicadores de salud, ubicación geográfica y variables de desagregación). Generar gráficas que estén disponibles para ver la información que se está consultando. Compartir en redes sociales: el usuario podrá compartir los resultados de su análisis mediante Facebook o Twitter.",,10/21/2013 12:00:00 AM,,
Servicio del empleo móvil,Software Público,"Es una herramienta que le permite consultar las oportunidades de empleo, en caso de empleador podrá registrar y modificar diferentes ofertas de empleo.",Trabajo,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Búsqueda de empleos por filtros como Tipo de oportunidad, Departamento, Municipio, Salario, Experiencia requerida, Nivel educativo; además e una o varias palabras claves. Vacantes favoritas: permite al usuario seleccionar diferentes ofertas de empleo como favoritas y tener información de estas a primera mano sin necesidad de realizar búsquedas, además en la parte inferior se encuentra la opción de compartir en redes sociales. Sección empleador: El empleador tiene la posibilidad de registrar nuevas ofertas de empleo después de iniciar sesión, tanto en la aplicación móvil como en el sitio web, además en la parte inferior se encuentra la opción de compartir en redes sociales. Gestionar vacantes: el empleador podrá crear vacante y visualizar  el listado de ofertas publicadas, las cuales al seleccionar una de ellas se podrá: Editar, inactivar y elimina la oferta.",1.0,12/16/2014 12:00:00 AM,,
Se le tiene,Software Público,"Herramienta que le permitirá acercarse a la entidad Departamento para la Prosperidad Social, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Negocios,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"""Login: La aplicación presenta la opción de registrarse por medio de la cuenta de Facebook o correo electrónico, también es posible crear un nuevo usuario con un correo electrónico. Búsqueda de productos o servicios: La aplicación presenta una lista detallada de productos o servicios que sean registrados en la entidad para buscar un ítem específico. Ofrecer producto: Los usuarios pueden ofrecer sus productos por medio de la aplicación, agregando datos básicos e imágenes del producto.
Ofrecer servicio: El usuario puede ofrecer servicios agregando datos básicos y las capacitaciones que posee. Búsqueda: Esta opción le permite al usuario ingresar unos criterios de búsqueda para realizar la consulta eficientemente. Calificación: La aplicación ofrece al usuario, mediante esta opción, la posibilidad de calificar el producto o servicios utilizando el valor de estrellas asignadas. Productos o servicios: La aplicación debe mostrar información detallada sobre quien, cuál es su calificación y las características esenciales del producto o servicio que ha sido ofrecido.",1.0,12/20/2014 12:00:00 AM,,
Súmate,Software Público,"Una herramienta que le permitirá acercarse a la entidad Unidad para la Atención y Reparación Integral a las Víctimas, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano",Inclusión Social y Reconciliación,2015,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Donación de materiales: La aplicación permite al usuario realizar a través de la aplicación móvil, donaciones de bienes inmateriales, las cuales estarán sujetos a la necesidad de los mismos previamente publicada por la entidad. Donación de bienes inmateriales: La aplicación permite al usuario realizar donación de bienes inmateriales tales como fotografías, vídeos, audios y tiempo de trabajo voluntario. Donación de dinero: La aplicación presenta al usuario opciones para la donación de dinero. Generación de certificado: La aplicación debe generar un certificado de donación a todos los donantes el cual deben poder imprimir o compartir a través de redes sociales.",1.0,2015-12-02T00:00:00.000,,
Transmetro,Software Público,"El usuario tendrá en la aplicación móvil planea tu ruta en Transmetro, una herramienta que le permitirá acercarse a la Alcaldía de Barranquilla, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Transporte,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Planea tu ruta: Permite conocer las rutas ordenadas por las más eficientes, dando prioridad a las de menor cantidad de Transbordos sobre el tiempo, para un Origen y un destino seleccionado de todas las estaciones y paraderos de Transmetro. Rutas: presenta las rutas troncales y alimentadoras de Transmetro mediante una lista.  Estaciones: Esta funcionalidad presenta la lista de estaciones y paraderos de Transmetro. Mapa: Presenta el mapa general de las estaciones de Transmetro. Compartir en redes sociales: Esta funcionalidad permite al usuario a seguir la cuenta de twitter de la entidad. Acerca de: Esta funcionalidad contiene información relacionada con la aplicación, muestra el logotipo de la entidad, el logotipo del Ministerio de Tecnologías de la Información y las Comunicaciones, el nombre de los miembros del equipo que desarrolló la aplicación",1.0,10/24/2014 12:00:00 AM,,
Tu Bogotá,Software Público,"La aplicación permite al ciudadano identificar los mejores sectores para vivir o invertir, a partir de un análisis espacial de variables educación, salud, comercio, transporte, sitios de interés, valor por m2 del terreno.",Negocios,2013,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Para realizar el análisis puede utilizar como referencia las coordenadas correspondientes a la posición del individuo que hace la consulta o una dirección ingresada por este; a partir de esta ubicación define el área a analizar.  La aplicación facilita la identificación de necesidades que puedan surgir por parte de los ciudadanos dentro de su análisis, como por ejemplo: nuevas vías de acceso, transporte, colegios, entre otras",,09/26/2013 12:00:00 AM,,
VITIMALZ,Software Público,"La aplicación desarrollada para el reto juego- Aprende sobre la ley de Víctimas sido identificada con el nombre “VITIMALZ”; es una aplicación que permite aprender acerca de la Ley 1448 de 2011, Ley de víctimas y restitución de tierras y sus derechos reglamentarios. Para cumplir este objetivo, VITIMALZ  le permite a los ciudadanos y funcionarios de la Unidad para la Atención y Reparación Integral de Víctimas, conocer la aplicación y los beneficios de la Ley 1448 de 2011 de forma divertida, a través de un juego en el cual se utilizan las preguntas diseñadas para el juego de mesa “Lo sé todo Ley 1448 de 2011.",Justicia y Derecho,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Para generar conexión entre el jugador y la aplicación se diseñaron 6 niveles en los cuales se trabajan los 6 temas principales de la ley, y se refuerzan a través de la muestra de la respuesta correcta cada vez que el jugador responde de forma incorrecta. Cada nivel está diseñado pensando en una región colombiana siendo estas: Región Amazónica, Región Orinoquía, Región Andina, Región Insular, Región Pacífica, Región Caribe. Adicionalmente, la aplicación le permite al ciudadano acceder a los enlaces de: El documento completo de la Ley 1448 de 2011 Valoración y registro, Derechos de las víctimas, Prevención, asistencia y atención, Reparación integral, Enfoques diferenciales Participación de las víctimas, Preguntas frecuentes, Normatividad, Chat, Video llamada.",1.0,2014-09-05T00:00:00.000,,
Vive Mujer,Software Público,"La aplicación móvil Vive Mujer es una herramienta que le permitirá acercarse a la entidad Alcaldía de Medellín, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Salud y Protección Social,2014,,http://softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Tips de orientación a la mujer que permitan identificar si son víctimas de violencia:la aplicación debe brindar orientación a las mujeres,  a través de unos tips con los cuales podrán identificar si son víctimas  de violencia intrafamiliar, económica, psicológica, sexual, física, sociopolítica o de trata de personas. Directorio general y por comunas: la aplicación permitirá ver un directorio general que les brindará información detallada como dirección y teléfono de las entidades a donde deben acudir para recibir orientación, denunciar, declarar, solicitar  atención o asistencia inmediata.  de igual manera podrán consultar un directorio por comunas el cual brindará información acerca de las comisarías que se encuentran en cada una de estas. Información y localización de rutas de atención antiviolencia: la aplicación tendrá una funcionalidad que permitirá tener información  y ubicación geográfica de los centros de atención integral a víctimas de abuso sexual, centros de recursos integrales para la familia,  unidad de reacción inmediata y defensoría del pueblo regional de Antioquía. Reporte  de información para que las instituciones y autoridades intervengan: esta funcionalidad le permitirá enviar información (datos personales) y descripción del hecho o suceso por el que está pasando a las instituciones y autoridades que intervendrán  y  tomarán medidas preventivas por la vida de las mujeres. Llamada a la línea de emergencia: la aplicación contará con la funcionalidad de llamadas a la línea de emergencia 123 la cual contribuye a  una respuesta en forma eficaz, eficiente, oportuna y coordinada de las solicitudes de los servicios de prevención y atención de emergencias y/o eventos de seguridad que se presenten.",1.0,01/30/2014 12:00:00 AM,,
Voto Visible,Software Público,"Aplicación móvil Voto Visible es una herramienta que le permitirá realizar seguimiento continuo de la votación de los dirigentes y funcionarios de corporaciones públicas en los cuales se implementa el voto como mecanismo de participación en las decisiones de tipo administrativo y legislativo. Más allá de este fin primario, la aplicación también puede ser implementada en cualquier ambiente en el que se implementa",Resultados Electorales,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,Votaciones: En esta página encontrará el listado de votaciones publicadas a través de Voto Visible y un acceso directo a la infografía de cada una de ellas. Nueva: Se encuentra el formulario para crear una nueva votación donde se diligencian los siguientes campos: Corporación: Nombre de la corporación que va a realizar la votación. Proyecto: Nombre del proyecto que se va a votar a través de la aplicación. Número: Número del proyecto que se va a votar a través de la aplicación. Año: Año de publicación del proyecto que se va a votar. URL Documento: Link hacia un documento publicado en la web que contiene la información completa sobre el proyecto. Fecha Fin: Fecha establecida para el cierre de la votación. Hora Fin: Hora establecida para el cierre de la votación. Pública: Checkbox que marca si la votación es pública o privada. Votantes: Permite definir los usuario de Twitter de los votantes que están autorizados para participar en una votación privada.,1.0,10/14/2014 12:00:00 AM,,
Yo Reporto,Software Público,"Permite ubicar las entidades técnicas del sistema (Defensa civil, Cruz Roja, Bomberos, Fuerzas militares, Red Hospitalaria y Albergues), que se encuentren cerca de él, a su vez podrán consultar datos históricos de los diferentes tipos de eventos ocurridos en un municipio, departamento o en todo el territorio nacional.","Vivienda, Ciudad y Territorio",2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Reportar: Esta funcionalidad permite al usuario reportar alertas de eventos desde el lugar donde se presenta el evento, informando el tipo de evento, el nivel, el municipio e incluso enviar fotos del evento. Indicadores: Presenta estadísticas de los eventos por año, permitiendo la representación de los datos en 3 tipos de gráficos: Línea de tiempo, Torta y Barras. Acerca de la aplicación: La aplicación móvil gestión del riesgo cuenta con una pantalla que recopila la información acerca de la misma, la cual consiste en el número de versión de la aplicación, el logotipo de la entidad para la que se desarrolló la aplicación, un mensaje que le indica al usuario que la aplicación puede consumir recursos de su plan de datos, el logotipo del Ministerio de Tecnologías de la Información y las Comunicaciones y los nombres de los integrantes del equipo de desarrollo.@UNGRD: La aplicación móvil GESTIÓN DEL RIESGO, desarrollada en el marco del proyecto Vive Gobierno Móvil cuenta con una funcionalidad de red social,  que le permite al usuario ver el Twitter de la entidad.",1.0,2014-06-03T00:00:00.000,,
Sistema de certificados Juntas comunales,Software Público,Software para generar certificados de representación legal de las juntas de acción comunal.,Función pública,2018,,http://201.245.190.30/tramite_gds/,https://github.com/gob-norte-santander-2018/tramite_juntas,Gobernación de Norte de Santander,tecnologia@nortedesantander.gov.co,,1.0,07/31/2018 12:00:00 AM,https://youtu.be/j_BnW1Ago5s,https://drive.google.com/file/d/1QbtTPrW5C1RxDUvNg_NdLWoELSmM-7hM/view?usp=sharing
Consulta del Concepto de Uso del Suelo,Software Público,"La aplicación le permite a la ciudadanía, organismos y demás entidades que interactúan con la Administración Municipal, buscar o ubicar, a través de un mapa la localización de un predio determinado y conocer qué actividades económicas se pueden desarrollar allí, de forma práctica y rápida.

Esta consulta corresponde al Concepto del Uso del Suelo, el cual se adopta por la normativa establecida en el Acuerdo 0373 de 2014 ""Por medio del cual se adopta la revisión ordinaria de contenido de largo plazo del Plan de Ordenamiento Territorial del municipio de Santiago de Cali"".",Ordenamiento Territorial,2018,,https://usodelsuelo.cali.gov.co,https://gitlab.com/saul.cali/usodelsuelo_public,Alcaldía de Santiago de Cali,saul@cali.gov.co,,1.0,08/15/2018 12:00:00 AM,,
Juntas,Software Público,"El sistema guarda información de la juntas de las juntas de acción  comunal del Departamento, de los directivos y afiliados a cada junta; permite generar documentos  internos de cada una de ellas (Autos resolutorios por los cuales sus miembros directivos fueron elegidos) y generar certificados según el tipo de Junta que sea (Junta de Acción Comunal o  Junta de Vivienda Comunitaria. 

Su desarrollo  e implementación surgió debido a la necesidad de tener un mayor control de los integrantes de cada JAC, pues en época de elección de directivos se presentaba que algunas personas votaban en  múltiples Juntas, ya que no había un control total de que personas estaba afiliadas a tal junta, presentándose duplicidad de  afiliados  y permitiendo que  se presentaran fraudes.

Fue realizado en el lenguaje de Programación PHP y el motor de bases de datos es MYSQL, realiza reportes en PDF gracias a la librería FPDF.php en su versión 1.7

Además son fuente de información de formatos que requieren las juntas (Formatos tarjetones, Documentos informativos y formatos para diligenciar).",,2015,,http://190.90.95.148:88/junta/,https://github.com/Goberboy/juntas,Gobernación de Boyacá,soporteweb@boyaca.gov.co,"El sistema guarda información de la juntas de las juntas de acción  comunal del Departamento, de los directivos y afiliados a cada junta; permite generar documentos  internos de cada una de ellas (Autos resolutorios por los cuales sus miembros directivos fueron elegidos) y generar certificados según el tipo de Junta que sea (Junta de Acción Comunal o  Junta de Vivienda Comunitaria. 

Fue realizado en el lenguaje de Programación PHP y el motor de bases de datos es MYSQL, realiza reportes en PDF gracias a la librería FPDF.php en su versión 1.7",Version 1,08/15/2018 12:00:00 AM,,
CEM - CARACTERIZACION ETNICA MUNICIPAL,Software Público,"Este sistema de información apoyara la gestión y toma decisiones de las entidades del orden Nacional, Regional, Departamental, Municipal y comunidades de la siguiente manera: 
• Instituciones – Hospital (identificación de pacientes y verificación que pertenecen al resguardo o comunidad, consejos comunitarios, afrodescendiente), Unidad De Salud de Arauca (Acceder al censo poblacional de y afros del municipio), ICBF (Identificación de población de primera infancia, niños, adolescentes y jóvenes), ASCATIDAR y ASONESA (para llevar un registro de población que representan y agrupan) 
• Municipio (focalizar programas y proyectos a las comunidades afrodescendiente y resguardos indígenas)
•Comunidades – Conocer Población por comunidad, rango de edad, grupo familiar, identificación, nivel escolaridad, víctimas de la violencia, tasa natalidad, mortalidad, morbilidad.
• Ministerio del Interior o Hacienda - Control de Población – Giro Recursos SGP 
• Departamento – Numero Población, Programas de Salud, Nutrición, Vivienda etc.
•INCODER hoy Agencia Nacional de Tierras - Constitución de resguardos, saneamiento de resguardos y ampliación, Mapas de Resguardos. – Ubicación y Límites.",Inclusión Social y Reconciliación,2016,,http://saravena-arauca.gov.co,https://github.com/alsaravena/cem/,Alcaldia Municipal de Saravena,alcaldia@saravena-arauca.gov.co,"Software que permite caracterizar poblacion indigena o afrocolombiana, con 96 variables, pueden conocerla y hacer consultas, con mucho gusto se apoya. Realizada en php, con mysql, html5, responsive, (en la documentacion esta la arquitectura de la aplicacion)",1,08/18/2016 12:00:00 AM,https://www.youtube.com/watch?v=_AyC_mZAidM&feature=youtu.be,https://github.com/alsaravena/cem/blob/master/MANUAL%20USUARIO%20SOFTWARE%20CARACTERIZACI%C3%93N%20ETNICA%20MUNICIPAL.docx
Xubuntu,Software Cívico,"Sistema Operativo Xubuntu es una distribución Linux basada en Ubuntu. Está mantenida por la comunidad y es un derivado de Ubuntu oficialmente reconocido por Canonical, usando el entorno de escritorio Xfce","Ciencia, Tecnología e Innovación",2016,,https://xubuntu.org,,Ubuntu,,"Sistema Operativo basado en linux, el cuál requiere de un bajo consumo de recursos y permite extender la vida útil de los ordenadores antiguos sin sacrificar tiempo de operación y trabajo de los funcionarios en esperas de cálculos computacionales.",18.04,04/26/2018 12:00:00 AM,https://www.youtube.com/watch?v=7ZM5PZbb2-g,https://docs.xubuntu.org/1804/
Sello de Excelencia Gobierno Digital Colombia,Software Público,"Aplicación que permite gestionar el proceso de postulación y obtención de los diferentes sellos de excelencia del Gobierno Digital de Colombia, puede ser reutilizada para crear otro tipo de sellos.","Ciencia, Tecnología e Innovación",2017,,http://www.sellodeexcelencia.gov.co/,https://github.com/MinisterioTIC?tab=repositories,Ministerio de Tecnologías de la Información y las Comunicaciones,sellodeexcelencia@mintic.gov.co,"El backend puede ser descargado de: https://github.com/MinisterioTIC/sellodeexcelencia-backend
El frontend puede ser descargado de: https://github.com/MinisterioTIC/sellodeexcelencia-frontend

En el backend: 
Lenguaje de programación Javascript ES6
Servidor de Aplicaciones NodeJS 6.0
Gestor de paquetes NPM 3.10.2
Motor de base de datos MySQL 5.7
Framework: DMT-Generator

FrontEnd:
Lenguaje HTML 5.0
Javascript  ES6
CSS 3.0
Compilador Babel 6.18.2
Empaquetador Webpack 1.13.3
Framework AngularJS 1.5.9 +
Autenticacion: Satellizer 0.15+
UI: Angular-Materialize 0.2.1+

CMS:
Base: Angular JS 1.5.9+
Base: DMT-Generator 0.2
UI: AngularMaterial 0.2.1+",2,08/21/2018 12:00:00 AM,https://www.youtube.com/watch?v=m474ErVwOIY,https://goo.gl/w2dxsS
Sistema Interno de Gestión Datos Abiertos,Software Público,"Aplicación web que facilita, agiliza, controla, organiza y automatiza las publicaciones de la Gobernación del Atlántico en datos.gov.co del MinTIC. Impactando en los indicadores de Gobierno en Línea y apoyando directamente el cumplimiento de la ley de Transparencia y del Derecho de Acceso a la Información Pública 1712 de 2014 e indirectamente proyectos como “emprende con datos” del MinTIC y Findeter.","Ciencia, Tecnología e Innovación",2018,,,https://github.com/gobatlantico/etl,Gobernación Del Atlántico,gobiernoenlinea@atlantico.gov.co,,1,2018-01-02T00:00:00.000,https://youtu.be/2dWowLu_OE8,https://drive.google.com/drive/folders/1cp5tprRDm5JY6puQsqDIz0AtpY30H2gP?usp=sharing
framework php para aplicaciones a la medida,Software Público,"Este es una framework desarrollado en PHP con estructura propia haciendo uso del patron de diseño FACADE, lo cual lo vuelve muy versatil para pequeños proyectos a la medida que necesitemos desarrollar","Ciencia, Tecnología e Innovación",2018,,https://indervalle.gov.co,https://github.com/johnmax11/frm_indervalle2,Indervalle,john.cortes@indervalle.gov.co,software framework desarrollado en PHP para pequeños proyectos de software abierto,1.0,2018-05-07T00:00:00.000,,https://github.com/johnmax11/frm_indervalle2/blob/master/README.md
